num_edges,Max Matching,2-Approximation Vertex Cover Size,Optimum Vertex Cover Size,Approximation Factor,Approximation Time,Time Taken (Brute Force)
20,"{(14, 20), (8, 16), (3, 10), (5, 13), (2, 19), (9, 15), (4, 7)}",14,8,1.75,5.8650970458984375e-05,0.2890791893005371
40,"{(4, 10), (1, 2), (6, 15), (9, 19), (5, 17), (7, 12), (3, 18), (8, 11)}",16,12,1.3333333333333333,4.315376281738281e-05,1.1449666023254395
60,"{(9, 20), (1, 19), (13, 16), (6, 7), (2, 12), (8, 11), (4, 17), (10, 18), (3, 5)}",18,13,1.3846153846153846,3.9577484130859375e-05,1.3234031200408936
80,"{(5, 8), (3, 7), (11, 19), (6, 17), (10, 20), (1, 13), (9, 18), (4, 14), (2, 15)}",18,14,1.2857142857142858,5.745887756347656e-05,1.6279735565185547
100,"{(3, 8), (12, 17), (11, 16), (2, 20), (10, 13), (4, 5), (7, 15), (14, 18), (6, 19), (1, 9)}",20,15,1.3333333333333333,4.9114227294921875e-05,2.0193731784820557
120,"{(7, 16), (12, 13), (1, 20), (8, 19), (5, 10), (3, 6), (4, 14), (11, 18), (2, 15), (9, 17)}",20,16,1.25,4.458427429199219e-05,2.0760204792022705
140,"{(3, 4), (11, 13), (10, 17), (8, 19), (2, 6), (1, 16), (5, 9), (7, 18), (12, 14)}",18,16,1.125,6.723403930664062e-05,2.8141822814941406
160,"{(5, 15), (9, 13), (8, 17), (2, 10), (14, 20), (7, 12), (6, 16), (3, 18), (4, 11), (1, 19)}",20,17,1.1764705882352942,6.270408630371094e-05,3.1431310176849365
180,"{(9, 16), (10, 11), (5, 8), (3, 17), (6, 20), (7, 13), (1, 4), (14, 19), (2, 12), (15, 18)}",20,18,1.1111111111111112,5.698204040527344e-05,2.6973114013671875
